drillhole,date,block,easting,northing,elev,x,y,z
T1YB5690,2009-12-08,D006,625,500,228.15,586739.564,1052664.217,245.55
T1YB5691,2009-12-08,D003,625,225,208.99,586730.477,1052939.067,217.471
T1YB5692,2009-12-08,D017,125,600,394.7,587142.65,1052577.49,397.688
T1YB5693,2009-12-09,D017,50,625,361.02,587068.517,1052550.025,357.73
T1YB5694,2009-12-09,D003,675,200,208.78,586779.624,1052965.706,218.723
T1YB5695,2009-12-09,D006,675,300,232.47,586782.928,1052865.76,237.254
T1YB5696,2009-12-10,D003,675,175,202.66,586778.797,1052990.692,215.085
T1YB5697,2009-12-10,D017,125,625,395.86,587143.476,1052552.503,398.234
T1YB5698,2009-12-11,D003,600,225,208.76,586705.491,1052938.241,214.318
T1YB5699,2009-12-12,D017,75,625,373.49,587093.503,1052550.851,370.109
T1YB5700,2009-12-12,D017,100,625,386.7,587118.49,1052551.677,383.888
T1YB5701,2009-12-12,D003,675,150,200.14,586777.971,1053015.678,206.223
T1YB5702,2009-12-14,D003,675,275,224.67,586782.102,1052890.747,235.544
T1YB5703,2009-12-14,D003,625,200,202.38,586729.651,1052964.054,212.65
T1YB5704,2009-12-14,D017,100,600,390.28,587117.664,1052576.664,390.711
T1YB5705,2009-12-15,D003,675,125,199.49,586777.145,1053040.665,202.754
T1YB5706,2009-12-15,D017,75,600,378.09,587092.677,1052575.837,378.71
T1YB5707,2009-12-16,D003,650,225,209.22,586755.463,1052939.893,220.315
T1YB5708,2009-12-16,D003,650,125,198.48,586752.159,1053039.839,201.341
T1YB5709,2009-12-17,D014,75,575,379.26,587091.851,1052600.824,384.764
T1YB5710,2009-12-17,D014,100,575,388.57,587116.838,1052601.65,393.992
T1YB5711,2009-12-18,D003,625,175,199.31,586728.825,1052989.04,206.149
T1YB5712,2009-12-21,D003,650,175,201.59,586753.811,1052989.866,208.476
T1YB5713,2009-12-18,D003,625,100,191.49,586726.346,1053063.999,194.508
T1YB5714,2009-12-19,D003,600,175,198.11,586703.838,1052988.214,204.231
T1YB5715,2010-03-12,D002,E575,S250,209.17,586681.33,1052912.429,211.77
T1YB5716,2010-03-12,D002,E575,S275,209.78,586682.156,1052887.443,212.413
T1YB5717,2010-03-13,D002,E550,S200,198.67,586654.692,1052961.576,203.452
T1YB5718,2010-03-15,D004,E575,S225,205.32,586680.504,1052937.416,210.693
T1YB5719,2010-03-15,D005,E575,S300,209.95,586682.983,1052862.457,215.181
T1YB5720,2010-03-15,D003,E625,S150,194.87,586727.999,1053014.027,202.44
T1YB5721,2010-03-15,D017,E125,S650,390.13,587144.302,1052527.517,395.361
T1YB5722,2010-03-16,D004,E525,S200,192.36,586629.706,1052960.75,200.896
T1YB5723,2010-03-16,D005,E575,S325,213.78,586683.809,1052837.47,209.33
T1YB5724,2010-03-16,D003,E625,S125,190.77,586727.173,1053039.013,199.249
T1YB5725,2010-03-16,D002,E550,S225,200.89,586655.518,1052936.59,205.66
T1YB5726,2010-03-17,D017,E125,S675,386.9,587145.128,1052502.531,389.622
T1YB5727,2010-03-17,D013,E125,S700,380.58,587145.954,1052477.544,395.226
T1YB5728,2010-03-17,D005,E575,S350,210.22,586684.635,1052812.484,214.12
T1YB5729,2010-03-17,D002,E525,S175,188.28,586628.879,1052985.736,195.467
T1YB5730,2010-03-17,D002,E575,S200,200.9,586679.678,1052962.402,208.158
T1YB5731,2010-03-17,D003,E625,S075,190.01,586725.521,1053088.986,191.825
T1YB5732,2010-03-17,D017,E100,S650,378.19,587119.315,1052526.691,380.351
T1YB5733,2010-03-18,D005,E575,S375,208.43,586685.461,1052787.498,212.431
T1YB5734,2010-03-18,D002,E525,S150,181.21,586628.053,1053010.723,192.175
T1YB5735,2010-03-18,D007,E625,S050,188.4,586724.694,1053113.972,194.022
T1YB5736,2010-03-19,D002,E575,S175,198.3,586678.852,1052987.388,203.023
T1YB5737,2010-03-19,D005,E575,S400,207.57,586686.287,1052762.511,214.601
T1YB5738,2010-03-19,D002,E525,S125,173.86,586627.227,1053035.709,188.337
T1YB5739,2010-03-19,D017,E100,S675,375.66,587120.141,1052501.705,375.509
T1YB5740,2010-03-20,D003,E625,S025,181.27,586723.868,1053138.959,192.282
T1YB5741,2010-03-20,D017,E125,S725,383.18,587146.78,1052452.558,396.103
T1YB5742,2010-03-20,D004,E550,S175,195.75,586653.866,1052986.562,200.981
T1YB5743,2010-03-20,D005,E525,S375,202.47,586635.488,1052785.845,204.911
T1YB5744,2010-03-20,D004,E525,S100,169.29,586626.401,1053060.695,180.888
T1YB5745,2010-03-22,D003,E625,S000,170.63,586723.042,1053163.945,186.621
T1YB5746,2010-03-23,D017,E000,S675,326.52,587020.196,1052498.4,333.422
T1YB5747,2010-03-22,D013,E075,S650,366.74,587094.329,1052525.865,366.166
T1YB5748,2010-03-22,D002,E550,S150,188.86,586653.04,1053011.549,197.173
T1YB5749,2010-03-22,D002,E525,S075,172.06,586625.575,1053085.682,174.2
T1YB5750,2010-03-23,D013,E125,S750,386.25,587147.606,1052427.572,394.099
T1YB5751,2010-03-24,D002,E550,S125,178.05,586652.214,1053036.535,194.609
T1YB5752,2010-03-24,D002,E575,S000,178.05,586673.07,1053162.293,181.161
T1YB5753,2010-03-23,D004,E525,S050,169.64,586624.749,1053110.668,171.965
T1YB5754,2010-03-23,D005,E525,S350,204.13,586634.662,1052810.832,199.679
T1YB5755,2010-03-23,D017,E075,S675,360.71,587095.155,1052500.878,365.057
T1YB5756,2010-03-24,D007,E025,S650,341.75,587044.356,1052524.213,343.596
T1YB5757,2010-03-25,D002,E550,S100,174.37,586651.388,1053061.521,186.895
T1YB5758,2010-03-24,D004,E500,S050,161.98,586599.763,1053109.842,166.813
T1YB5759,2010-03-25,D002,E500,S075,166.65,586600.589,1053084.856,170.03
T1YB5760,2010-03-25,D002,E550,S000,161.05,586648.083,1053161.467,174.603
T1YB5761,2010-03-25,D005,E525,S325,203.34,586633.836,1052835.818,203.177
T1YB5762,2010-03-26,D002,E500,S100,166.09,586601.415,1053059.869,177.366
T1YB5763,2010-03-26,D017,E025,S675,338.04,587045.182,1052499.226,343.771
T1YB5764,2010-03-26,D013,E075,S700,358.37,587095.981,1052475.892,367.952
T1YB5765,2010-03-26,D013,E125,S775,385.3,587148.432,1052402.585,389.374
T1YB5766,2010-03-26,D002,E550,S075,174.56,586650.562,1053086.508,178.224
T1YB5767,2010-03-26,D002,E525,S000,164.76,586623.097,1053160.641,169.825
T1YB5768,2010-03-26,D004,E525,S300,201.39,586633.01,1052860.804,204.764
T1YB5769,2010-03-29,D017,E025,S700,338.92,587046.009,1052474.24,345.264
T1YB5770,2010-03-27,D001,E550,S050,174.9,586649.735,1053111.494,176.699
T1YB5771,2010-03-27,D002,E500,S000,162.84,586598.111,1053159.815,161.829
T1YB5772,2010-03-27,D012,E550,S125,170.1,586602.241,1053034.883,182.46
T1YB5773,2010-03-27,D002,E550,S025,171.19,586648.909,1053136.48,175.805
T1YB5774,2010-03-27,D002,E525,S275,201.87,586632.184,1052885.791,202.512
T1YB5775,2010-03-27,D017,E050,S650,355.9,587069.343,1052525.039,353.733
T1YB5776,2010-03-27,D017,E025,S725,362.28,587096.807,1052450.906,368.61
T1YB5777,2010-03-29,D002,E500,S025,160.87,586598.937,1053134.828,166.294
T1YB5778,2010-03-29,D017,E125,S800,380.46,587149.258,1052377.599,388.207
T1YB5779,2010-03-29,D002,E525,S250,201.22,586631.358,1052910.777,200.976
T1YB5780,2010-03-29,D002,E575,S025,170.16,586673.896,1053137.306,183.374
T1YB5781,2010-03-29,D002,E500,S150,177.94,586603.067,1053009.896,185.601
T1YB5782,2010-03-29,D002,E525,S025,169.62,586623.923,1053135.654,171.645
T1YB5783,2010-03-29,D017,E025,S725,340.71,587046.835,1052449.254,344.892
T1YB5784,2010-03-30,D017,E025,S750,335.55,587047.661,1052424.267,342.19
T1YB5785,2010-03-30,D017,E075,S750,364.28,587097.633,1052425.919,368.069
T1YB5786,2010-03-30,D017,E050,S675,350.69,587070.169,1052500.052,355.4
T1YB5787,2010-03-30,D005,E575,S525,215.25,586690.417,1052637.579,225.939
T1YB5788,2010-03-30,D005,E575,S550,218.55,586691.243,1052612.593,222.727
T1YB5789,2010-03-30,D002,E525,S225,196.12,586630.532,1052935.763,202.255
T1YB5790,2010-03-30,D002,E500,S175,182.32,586603.893,1052984.91,189.892
T1YB5791,2010-04-05,D017,E000,S725,328.79,587021.848,1052448.428,326.75
T1YB5792,2010-03-31,D017,E125,S825,379.83,587150.084,1052352.613,387.835
T1YB5793,2010-03-30,D002,E500,S200,183.8,586604.719,1052959.924,196.318
T1YB5794,2010-04-05,D005,E575,S575,221.72,586692.069,1052587.607,215.962
T1YB5795,2010-04-05,D008,E575,S625,206.31,586693.721,1052537.634,199.032
T1YB5796,2010-03-05,D005,E575,S425,215.11,586687.113,1052737.525,210.64
T1YB5797,2010-04-06,D017,E050,S700,349.53,587070.995,1052475.066,356.77
