HYYB0224,2005-10-10,,,,,593621.85,1050602.55,282.187,
HYYB0225,2005-10-13,,,,,593510.897,1051300.898,301.207,
HYYB0226,2005-10-13,,,,,593415.609,1050999.368,221.963,
HYYB0227,2005-10-10,,,,,593796.812,1051906.681,127.909,
HYYB0228,2005-10-13,,,,,593717.135,1050904.079,296.17,
HYYB0229,2005-10-13,,,,,593602.582,1051602.914,227.021,
HYYB0230,2005-10-13,,,,,593618.718,1050802.526,261.502,
HYYB0231,2005-10-12,,,,,593620.284,1050702.537,271.41,
HYYB0232,2005-10-13,,,,,593798.723,1051806.699,143.053,
HYYB0233,2005-10-14,,,,,593913.981,1051107.189,278.551,
HYYB0234,2005-10-14,,,,,593514.03,1051100.923,259.455,
HYYB0235,2005-10-17,,,,,593604.493,1051502.932,238.066,
HYYB0236,2005-10-17,,,,,593719.396,1050704.95,251.932,
HYYB0237,2005-10-17,,,,,593817.127,1050905.647,291.873,
HYYB0238,2005-10-15,,,,,593717.83,1050804.938,279.31,
HYYB0239,2005-10-21,,,,,593512.463,1051200.91,285.952,
HYYB0240,2005-10-15,,,,,593417.175,1050899.381,196.315,
HYYB0241,2005-10-17,,,,,593700.652,1051704.806,176.331,
HYYB0242,2005-10-18,,,,,593614.018,1051102.489,286.483,
HYYB0243,2005-10-17,,,,,594013.969,1051108.755,253.826,
HYYB0244,2005-10-18,,,,,593800.634,1051706.717,163.993,
HYYB0245,2005-10-19,,,,,593817.817,1050806.504,254.997,
HYYB0246,2005-10-20,,,,,593606.404,1051402.95,279.395,
HYYB0247,2005-10-20,,,,,593917.114,1050907.213,269.293,
HYYB0248,2005-10-26,,,,,593615.585,1051002.501,287.366,
HYYB0249,2005-10-21,,,,,594012.402,1051208.743,245.503,
HYYB0250,2005-10-21,,,,,593702.564,1051604.825,186.461,
HYYB0251,2005-10-22,,,,,593714.006,1051104.056,293.889,
HYYB0252,2005-10-22,,,,,593802.545,1051606.736,179.044,
HYYB0253,2005-10-24,,,,,594206.294,1051414.416,231.695,
HYYB0254,2005-10-27,,,,,594106.312,1051412.505,250.941,
HYYB0255,2005-10-24,,,,,593914.158,1051007.866,277.215,
HYYB0256,2005-10-25,,,,,594010.836,1051308.73,264.77,
HYYB0257,2005-10-25,,,,,593610.885,1051302.464,292.734,
HYYB0258,2005-10-25,,,,,593704.475,1051504.843,194.914,
HYYB0259,2005-10-25,,,,,593813.993,1051105.622,279.905,
HYYB0260,2005-11-05,,,,,593712.439,1051204.043,292.082,
HYYB0261,2005-10-28,,,,,594273.746,1051519.327,256.925,
HYYB0262,2005-10-28,,,,,594014.145,1051009.432,252.48,
HYYB0263,2005-10-26,,,,,593804.456,1051506.754,193.568,
HYYB0264,2005-11-02,,,,,593706.385,1051404.861,239.215,
HYYB0265,2005-10-29,,,,,593912.415,1051207.176,258.802,
HYYB0266,2005-11-02,,,,,594006.331,1051410.594,257.872,
