Hole no.,Date ,Block,E/W,N/S,ELEV,%Ni,%Fe,%Co
758_T3_06,3-Oct-06,E065,E375,S500,191.84,,,
4126_T3,02-Jun-99,F055,E400,S500,436.9,,,
3441_T3,04-Aug-98,F065,E400,S500,387.99,,,
2755_T3,17-Sep-97,D055,E400,S500,359.92,,,
3109_T3,19-Mar-98,E055,E400,S500,362.25,,,
766_T3_06,4-Oct-06,E065,E400,S500,162.67,,,
3437_T3,01-Aug-98,F065,E425,S500,392.49,,,
3103_T3,17-Mar-98,E055,E425,S500,390.96,,,
2789_T3,18-Sep-97,D055,E425,S500,350.04,,,
4113_T3,29-May-99,F055,E425,S500,458.32,,,
756_T3_06,3-Oct-06,E065,E425,S500,199.78,,,
3097_T3,14-Mar-98,E055,E450,S500,380.85,,,
2795_T3,18-Sep-97,D055,E450,S500,364.55,,,
4109_T3,28-May-99,F055,E450,S500,457.01,,,
3432_T3,31-Jul-98,F065,E450,S500,400.3,,,
775_T3_06,7-Oct-06,E065,E450,S500,149.65,,,
3436_T3,01-Aug-98,F065,E475,S500,398.74,,,
4133_T3,02-Jun-99,F055,E475,S500,421.09,,,
3463_T3,11-Aug-98,E055,E475,S500,295.09,,,
792_T3_06,11-Oct-06,E065,E475,S500,168.93,,,
2801_T3,28-Sep-97,D055,E475,S500,319.05,,,
3460_T3,08-Aug-98,E055,E500,S500,302.41,,,
4087_T3,24-May-99,F055,E500,S500,474.26,,,
3414_T3,27-Jul-98,F065,E500,S500,403.09,,,
778_T3_06,9-Oct-06,E065,E500,S500,144.85,,,
354_T3_05,10-Nov-05,E055,E525,S500,334.06,,,
799_T3_06,12-Oct-06,E065,E525,S500,198.67,,,
4058_T3,15-May-99,F055,E525,S500,458.63,,,
606_T3_06,10-Jul-06,F065,E550,S500,228.4,,,
801_T3_06,13-Oct-06,E065,E550,S500,199.02,,,
4066_T3,19-May-99,F055,E550,S500,432.21,,,
1998_T3,24-Aug-96,E055,E550,S500,219.38,,,
812_T3_06,17-Oct-06,E065,E575,S500,184.1,,,
1996_T3,23-Aug-96,E055,E575,S500,223.63,,,
4000_T3,29-Apr-99,F055,E575,S500,465.54,,,
4010_T3,04-May-99,F056,E600,S500,443.73,,,
825_T3_06,20-Oct-06,E066,E600,S500,181.63,,,
596_T3_06,6-Jul-06,F066,E600,S500,251.52,,,
4012_T3,06-May-99,F056,E625,S500,446.46,,,
2017_T3,30-Aug-96,E056,E625,S500,222.56,,,
2025_T3,02-Sep-96,E056,E650,S500,218.54,,,
4048_T3,13-May-99,F056,E650,S500,476.87,,,
4051_T3,14-May-99,F056,E675,S500,457.95,,,
4064_T3,17-May-99,F056,E700,S500,454.37,,,
4405_T3,11-Aug-99,F056,E725,S500,234.19,,,
2692_T3,03-Sep-97,D046,E750,S500,251.52,,,
4424_T3,20-Aug-99,F056,E750,S500,214.19,,,
2644_T3,23-Aug-97,D046,E775,S500,132.17,,,
4623_T3,28-Sep-99,F056,E775,S500,174.53,,,
4639_T3,01-Oct-99,F056,E800,S500,159.74,,,
2684_T3,26-Aug-97,D046,E800,S500,126.72,,,
6755_T3,15-Jun-01,F056,E825,S500,272.01,,,
2581_T3,19-Aug-97,D046,E825,S500,331.31,,,
6754_T3,14-Jun-01,F056,E850,S500,256.31,,,
2666_T3,22-Aug-97,D046,E850,S500,300.81,,,
6723_T3,04-Jun-01,F056,E875,S500,77.33,,,
3311_T3,19-Jun-98,E056,E875,S500,116.33,,,
2693_T3,28-Aug-97,D046,E875,S500,143.13,,,
3272_T3,04-Jun-98,C054,E000,S525,372.14,,,
3299_T3,11-Jun-98,E064,E000,S525,210.28,,,
1839_T3,27-Jun-96,F064,E000,S525,268.51,,,
2699_T3,30-Aug-97,D054,E000,S525,257.57,,,
2689_T3,02-Sep-97,D054,E025,S525,295.76,,,
3265_T3,03-Jun-98,C054,E025,S525,380.58,,,
6848_T3,12-Jul-01,F064,E025,S525,255.04,,,
3308_T3,16-Jun-98,E064,E025,S525,352.06,,,
3263_T3,02-Jun-98,C054,E050,S525,238.83,,,
6836_T3,07-Jul-01,F064,E050,S525,279.71,,,
3312_T3,17-Jun-98,E064,E050,S525,365.25,,,
2086_T3,25-Sep-96,D054,E050,S525,247.27,,,
3316_T3,18-Jun-98,E064,E075,S525,358.79,,,
2598_T3,19-Aug-97,D054,E075,S525,332.84,,,
6807_T3,29-Jun-01,F064,E075,S525,273.37,,,
3255_T3,01-Jun-98,C054,E100,S525,376.58,,,
6827_T3,05-Jul-01,F064,E100,S525,281.67,,,
2625_T3,09-Aug-97,D054,E100,S525,286.85,,,
7273_T3,11-Oct-01,F054,E100,S525,334.61,,,
3327_T3,24-Jun-98,E064,E100,S525,141.34,,,
2577_T3,04-Aug-97,D054,E125,S525,328.74,,,
7257_T3,08-Oct-01,F054,E125,S525,348.61,,,
6855_T3,11-Jul-01,F064,E125,S525,265.3,,,
2863_T3,20-Oct-97,E054,E125,S525,153.84,,,
3247_T3,30-May-98,C054,E125,S525,382.15,,,
7235_T3,11-Oct-01,F054,E150,S525,357.95,,,
6880_T3,16-Jul-01,F064,E150,S525,261.03,,,
2857_T3,20-Oct-97,E054,E150,S525,167.41,,,
2523_T3,21-Jul-97,D054,E150,S525,322.71,,,
3243_T3,28-May-98,C054,E150,S525,410.72,,,
7274_T3,12-Oct-01,F054,E175,S525,331.61,,,
2851_T3,16-Oct-97,E054,E175,S525,163.78,,,
3397_T3,18-Jul-98,F064,E175,S525,410.74,,,
2782_T3,23-Sep-97,D054,E175,S525,290.74,,,
3239_T3,27-May-98,C054,E175,S525,409.38,,,
2709_T3,04-Sep-97,D054,E200,S525,233.96,,,
7243_T3,06-Oct-01,F054,E200,S525,415.81,,,
2845_T3,10-Oct-97,E054,E200,S525,139.78,,,
3392_T3,17-Jul-98,F064,E200,S525,322.43,,,
3238_T3,27-May-98,C054,E200,S525,390.06,,,
3666_T3,01-Oct-98,C054,E225,S525,458.34,,,
2898_T3,05-Nov-97,E054,E225,S525,169.28,,,
7244_T3,08-Oct-01,F054,E225,S525,365.08,,,
2743_T3,13-Sep-97,D054,E225,S525,373.43,,,
3401_T3,21-Jul-98,F064,E225,S525,364.64,,,
3117_T3,02-Apr-98,E054,E250,S525,386.07,,,
2695_T3,04-Sep-97,D054,E250,S525,274.42,,,
7248_T3,08-Oct-01,F054,E250,S525,345.92,,,
3398_T3,18-Jul-98,F064,E250,S525,359.47,,,
3641_T3,25-Sep-98,C054,E250,S525,421.47,,,
2683_T3,02-Sep-97,D054,E275,S525,298.75,,,
7239_T3,04-Oct-01,F054,E275,S525,372.13,,,
3921_T3,13-Mar-99,C054,E275,S525,477.03,,,
3402_T3,21-Jul-98,F064,E275,S525,369.4,,,
3013_T3,29-Jan-98,E054,E275,S525,143.16,,,
2677_T3,01-Sep-97,D055,E300,S525,285.62,,,
7220_T3,03-Oct-01,F055,E300,S525,365.68,,,
3902_T3,09-Mar-99,C055,E300,S525,495.44,,,
1990_T3,22-Aug-96,E055,E300,S525,293.28,,,
3409_T3,23-Jul-98,F065,E300,S525,373.12,,,
7219_T3,02-Oct-01,F055,E325,S525,369.5,,,
2979_T3,04-Feb-98,E055,E325,S525,124.47,,,
3423_T3,29-Jul-98,F065,E325,S525,396.98,,,
2671_T3,30-Aug-97,D055,E325,S525,247.98,,,
2985_T3,06-Feb-98,E055,E350,S525,113.14,,,
7176_T3,22-Sep-01,F055,E350,S525,358.71,,,
2665_T3,29-Aug-97,D055,E350,S525,249.58,,,
3433_T3,31-Jul-98,F065,E350,S525,389.01,,,
3025_T3,07-Feb-98,E055,E375,S525,116.45,,,
2763_T3,18-Sep-97,D055,E375,S525,383.42,,,
7160_T3,20-Sep-01,F055,E375,S525,356.11,,,
3413_T3,28-Jul-98,F065,E375,S525,373.74,,,
738_T3_06,6-Oct-06,E065,E375,S525,134.42,,,
2750_T3,09-Sep-97,D055,E400,S525,313.07,,,
3079_T3,10-Mar-98,E055,E400,S525,374.23,,,
7297_T3,17-Oct-01,F055,E400,S525,357.58,,,
3406_T3,27-Jul-98,F065,E400,S525,367.5,,,
777_T3_06,7-Oct-06,E065,E400,S525,151.78,,,
3073_T3,07-Mar-98,E055,E425,S525,401.4,,,
6637_T3,18-May-01,F055,E425,S525,100.2,,,
3403_T3,22-Jul-98,F065,E425,S525,406.12,,,
2837_T3,27-Sep-97,D055,E425,S525,301.17,,,
757_T3_06,3-Oct-06,E065,E425,S525,195.51,,,
3067_T3,02-Mar-98,E055,E450,S525,379.53,,,
6650_T3,18-May-01,F055,E450,S525,110.98,,,
3426_T3,30-Jul-98,F065,E450,S525,403.94,,,
2843_T3,30-Sep-97,D055,E450,S525,172.01,,,
780_T3_06,9-Oct-06,E065,E450,S525,178.24,,,
3470_T3,11-Aug-98,E055,E475,S525,260.98,,,
6638_T3,16-May-01,F055,E475,S525,93.36,,,
2807_T3,22-Sep-97,D055,E475,S525,354.56,,,
3431_T3,31-Jul-98,F065,E475,S525,390.14,,,
776_T3_06,7-Oct-06,E065,E475,S525,142.97,,,
3458_T3,07-Aug-98,E055,E500,S525,316.75,,,
791_T3_06,11-Oct-06,E065,E500,S525,172.57,,,
6641_T3,16-May-01,F055,E500,S525,80.27,,,
3453_T3,06-Aug-98,E055,E525,S525,419.1,,,
6633_T3,16-May-01,F055,E525,S525,93.02,,,
4742_T3,19-Oct-99,E065,E525,S525,187.31,,,
841_T3,20-Jan-93,D055,E525,S525,209.8,,,
6626_T3,11-May-01,F055,E550,S525,120.73,,,
3599_T3,12-Sep-98,E055,E550,S525,197.31,,,
802_T3_06,16-Oct-06,E065,E550,S525,195.29,,,
844_T3,21-Jan-93,D055,E550,S525,216.19,,,
6632_T3,12-May-01,F055,E575,S525,92.78,,,
836_T3,14-Jan-93,D055,E575,S525,213.48,,,
3605_T3,14-Sep-98,E055,E575,S525,456.22,,,
818_T3_06,21-Oct-06,E065,E575,S525,183.1,,,
2031_T3,04-Sep-96,E056,E600,S525,248.25,,,
6613_T3,11-May-01,F056,E600,S525,111.61,,,
837_T3,15-Jan-93,D056,E600,S525,195.67,,,
821_T3_06,18-Oct-06,E066,E600,S525,187.39,,,
831_T3,07-Jan-93,C036,E625,S525,211,,,
352_T3_05,10-Nov-05,E056,E625,S525,360.44,,,
4004_T3,27-Apr-99,F056,E625,S525,488.82,,,
4027_T3,08-May-99,F056,E650,S525,483.98,,,
4030_T3,10-May-99,F056,E675,S525,457.17,,,
4042_T3,12-May-99,F056,E700,S525,451.64,,,
4399_T3,09-Aug-99,F056,E725,S525,235.79,,,
2698_T3,04-Sep-97,D046,E750,S525,240.09,,,
4624_T3,29-Sep-99,F056,E750,S525,172.34,,,
2638_T3,22-Aug-97,D046,E775,S525,139.11,,,
4625_T3,30-Sep-99,F056,E775,S525,171.55,,,
6756_T3,15-Jun-01,F056,E800,S525,271.5,,,
2678_T3,25-Aug-97,D046,E800,S525,134.93,,,
6753_T3,13-Jun-01,F056,E825,S525,269.48,,,
2575_T3,18-Aug-97,D046,E825,S525,281.17,,,
6724_T3,05-Jun-01,F056,E850,S525,268.66,,,
2133_T3,14-Oct-96,D046,E850,S525,248.65,,,
6715_T3,04-Jun-01,F056,E875,S525,138.74,,,
3291_T3,09-Jun-98,E056,E875,S525,367.92,,,
2687_T3,27-Aug-97,D046,E875,S525,128.2,,,
847_T3,25-Jan-93,D055,E512.50,S537.50,216.94,,,
842_T3,20-Jan-93,C035,E562.50,S537.50,214.44,,,
835_T3,13-Jan-93,D056,E612.50,S537.50,221.38,,,
1918_T3,05-Aug-96,E064,E000,S550,218.95,,,
2127_T3,11-Oct-96,D054,E000,S550,207.27,,,
3240_T3,27-May-98,C054,E000,S550,370.89,,,
6713_T3,31-May-01,F064,E000,S550,163.85,,,
3292_T3,09-Jun-98,E064,E025,S550,206.08,,,
2128_T3,12-Oct-96,D054,E025,S550,206.09,,,
3251_T3,30-May-98,C054,E025,S550,217.22,,,
6696_T3,31-May-01,F064,E025,S550,174.72,,,
1934_T3,05-Aug-96,E064,E050,S550,222.85,,,
6837_T3,09-Jul-01,F064,E050,S550,281.99,,,
1822_T3,10-Jun-96,C054,E050,S550,263.37,,,
2092_T3,27-Sep-96,D054,E050,S550,216.42,,,
6828_T3,07-Jul-01,F064,E075,S550,272.52,,,
3287_T3,08-Jun-98,E064,E075,S550,401.37,,,
2592_T3,15-Aug-97,D054,E075,S550,380.41,,,
6842_T3,09-Jul-01,F064,E100,S550,276.05,,,
3293_T3,11-Jun-98,E064,E100,S550,367.09,,,
2631_T3,12-Aug-97,D054,E100,S550,277.61,,,
2571_T3,04-Aug-97,D054,E125,S550,298.1,,,
7258_T3,09-Oct-01,F054,E125,S550,383.73,,,
2125_T3,12-Oct-96,E064,E125,S550,237.84,,,
6856_T3,13-Jul-01,F064,E125,S550,255.17,,,
3237_T3,27-May-98,C054,E125,S550,216.2,,,
2803_T3,30-Sep-97,E054,E125,S550,239.84,,,
1811_T3,03-Jun-96,C054,E150,S550,371.58,,,
367_T3_05,1-Dec-05,E064,E150,S550,341.54,,,
7275_T3,12-Oct-01,F054,E150,S550,339.02,,,
1823_T3,13-Jun-96,F064,E150,S550,283.03,,,
2529_T3,22-Jul-97,D054,E150,S550,321.21,,,
2809_T3,30-Sep-97,E054,E150,S550,318.06,,,
2815_T3,02-Oct-97,E054,E175,S550,172.22,,,
2119_T3,05-Oct-96,E064,E175,S550,252.26,,,
7217_T3,13-Oct-01,F054,E175,S550,318.13,,,
3400_T3,21-Jul-98,F064,E175,S550,406.18,,,
2776_T3,22-Sep-97,D054,E175,S550,373.11,,,
3230_T3,25-May-98,C054,E175,S550,382.81,,,
2821_T3,03-Oct-97,E054,E200,S550,163.17,,,
2715_T3,04-Sep-97,D054,E200,S550,248.25,,,
7242_T3,05-Oct-01,F054,E200,S550,416.53,,,
1832_T3,20-Jun-96,F064,E200,S550,344.57,,,
3246_T3,29-May-98,C054,E200,S550,369.57,,,
371_T3_05,8-Dec-05,E064,E200,S550,357.85,,,
3672_T3,03-Oct-98,C054,E225,S550,463.21,,,
2839_T3,08-Oct-97,E054,E225,S550,174.89,,,
7263_T3,09-Oct-01,F054,E225,S550,373.47,,,
2749_T3,15-Sep-97,D054,E225,S550,396.11,,,
2089_T3,30-Sep-96,E064,E225,S550,230.11,,,
3430_T3,31-Jul-98,F064,E225,S550,387.41,,,
7249_T3,09-Oct-01,F054,E250,S550,379.81,,,
2733_T3,12-Sep-97,D054,E250,S550,401.5,,,
1876_T3,15-Jul-96,F064,E250,S550,302.96,,,
1982_T3,20-Aug-96,E054,E250,S550,257.71,,,
3636_T3,23-Sep-98,C054,E250,S550,424.17,,,
634_T3_06,27-Jul-06,E064,E250,S550,226.57,,,
7240_T3,05-Oct-01,F054,E275,S550,419.25,,,
3916_T3,11-Mar-99,C054,E275,S550,468.15,,,
2739_T3,13-Sep-97,D054,E275,S550,406.76,,,
3007_T3,24-Jan-98,E054,E275,S550,152.83,,,
3407_T3,27-Jul-98,F064,E275,S550,361.89,,,
7218_T3,01-Oct-01,F055,E300,S550,364.85,,,
3899_T3,06-Mar-99,C055,E300,S550,495.62,,,
1864_T3,11-Jul-96,F065,E300,S550,310.63,,,
2745_T3,15-Sep-97,D055,E300,S550,404.72,,,
1987_T3,21-Aug-96,E055,E300,S550,286.67,,,
639_T3_06,28-Jul-06,E065,E300,S550,234.54,,,
2751_T3,16-Sep-97,D055,E325,S550,367.01,,,
7177_T3,25-Sep-01,F055,E325,S550,401.78,,,
3061_T3,26-Feb-98,E055,E325,S550,395.06,,,
1873_T3,12-Jul-96,F065,E350,S550,295.77,,,
7128_T3,15-Sep-01,F055,E350,S550,390.86,,,
2757_T3,17-Sep-97,D055,E350,S550,354.22,,,
2007_T3,27-Aug-96,E055,E350,S550,227.04,,,
635_T3_06,27-Jul-06,E065,E350,S550,221.17,,,
3438_T3,01-Aug-98,F065,E375,S550,394.28,,,
2756_T3,09-Sep-97,D055,E375,S550,283.1,,,
7158_T3,15-Sep-01,F055,E375,S550,387.9,,,
3055_T3,25-Feb-98,E055,E375,S550,142.21,,,
1861_T3,09-Jul-96,F065,E400,S550,323.78,,,
3031_T3,10-Feb-98,E055,E400,S550,118.04,,,
2762_T3,10-Sep-97,D055,E400,S550,421.12,,,
7159_T3,18-Sep-01,F055,E400,S550,367.66,,,
632_T3_06,27-Jul-06,E065,E400,S550,223.87,,,
2741_T3,10-Sep-97,D055,E425,S550,313.1,,,
3037_T3,16-Feb-98,E055,E425,S550,124.99,,,
6639_T3,18-May-01,F055,E425,S550,81.72,,,
3422_T3,29-Jul-98,F065,E425,S550,399.96,,,
2802_T3,01-Oct-97,D055,E450,S550,292.96,,,
3568_T3,05-Sep-98,E055,E450,S550,265.41,,,
1865_T3,10-Jul-96,F065,E450,S550,311.35,,,
6652_T3,22-May-01,F055,E450,S550,100.96,,,
633_T3_06,27-Jul-06,E065,E450,S550,229.44,,,
3558_T3,03-Sep-98,E055,E475,S550,286.04,,,
6651_T3,19-May-01,F055,E475,S550,104,,,
2813_T3,23-Sep-97,D055,E475,S550,212.93,,,
3425_T3,29-Jul-98,F065,E475,S550,373.32,,,
747_T3_06,5-Oct-06,E065,E475,S550,128.85,,,
3472_T3,12-Aug-98,E055,E500,S550,363.25,,,
6644_T3,19-May-01,F055,E500,S550,115.45,,,
637_T3_06,29-Jul-06,E065,E500,S550,234.26,,,
3421_T3,29-Jul-98,F065,E500,S550,391.33,,,
790_T3_06,11-Oct-06,E065,E525,S550,168.68,,,
3595_T3,11-Sep-98,E055,E525,S550,228.82,,,
6634_T3,16-May-01,F055,E525,S550,95.26,,,
6627_T3,15-May-01,F055,E550,S550,88.47,,,
804_T3_06,16-Oct-06,E065,E550,S550,198.16,,,
845_T3,22-Jan-93,D055,E550,S550,264.45,,,
2006_T3,27-Aug-96,E055,E550,S550,242.31,,,
598_T3_06,7-Jul-06,F065,E550,S550,274.36,,,
6629_T3,11-May-01,F055,E575,S550,101.27,,,
839_T3,18-Jan-93,D055,E575,S550,220.5,,,
823_T3_06,21-Oct-06,E065,E575,S550,187.12,,,
2004_T3,26-Aug-96,E055,E575,S550,244.74,,,
2035_T3,05-Sep-96,E056,E600,S550,212.96,,,
6610_T3,10-May-01,F056,E600,S550,100.2,,,
840_T3,19-Jan-93,D056,E600,S550,193.32,,,
826_T3_06,19-Oct-06,E066,E600,S550,161.9,,,
6609_T3,05-May-01,F056,E625,S550,105.63,,,
832_T3,08-Jan-93,C036,E625,S550,209.67,,,
1993_T3,23-Aug-96,E056,E625,S550,280.62,,,
839_T3_06,26-Oct-06,E066,E625,S550,159.39,,,
6608_T3,04-May-01,F056,E650,S550,125.62,,,
2001_T3,26-Aug-96,E056,E650,S550,216.48,,,
4370_T3,03-Aug-99,E056,E675,S550,398.71,,,
6623_T3,05-May-01,F056,E675,S550,98.54,,,
6607_T3,04-May-01,F056,E700,S550,118.1,,,
4342_T3,27-Jul-99,E056,E700,S550,168.67,,,
6646_T3,21-May-01,F056,E725,S550,86.41,,,
2704_T3,05-Sep-97,D046,E750,S550,234.9,,,
6659_T3,23-May-01,F056,E750,S550,86.93,,,
2632_T3,21-Aug-97,D046,E775,S550,138.12,,,
6660_T3,24-May-01,F056,E775,S550,313.56,,,
6757_T3,18-Jun-01,F056,E800,S550,271.34,,,
2672_T3,23-Aug-97,D046,E800,S550,135.11,,,
2569_T3,16-Aug-97,D046,E825,S550,380.56,,,
6777_T3,20-Jun-01,F056,E825,S550,266.98,,,
2109_T3,03-Oct-96,D046,E850,S550,208.26,,,
1935_T3,07-Aug-96,E056,E850,S550,222.38,,,
6778_T3,21-Jun-01,F056,E850,S550,261.1,,,
6714_T3,01-Jun-01,F056,E875,S550,151.47,,,
2121_T3,05-Oct-96,D046,E875,S550,237.42,,,
3301_T3,15-Jun-98,E056,E875,S550,415.22,,,
846_T3,25-Jan-93,D055,E587.50,S562.50,264.77,,,
2122_T3,05-Oct-96,D054,E000,S575,207.65,,,
1942_T3,08-Aug-96,E064,E000,S575,222.41,,,
3223_T3,23-May-98,C054,E000,S575,389.47,,,
1837_T3,27-Jun-96,F064,E000,S575,264.45,,,
2116_T3,04-Oct-96,D054,E025,S575,213.7,,,
3283_T3,08-Jun-98,E064,E025,S575,353.25,,,
7038_T3,23-Aug-01,F064,E025,S575,425.97,,,
3231_T3,25-May-98,C054,E025,S575,368.12,,,
1940_T3,07-Aug-96,E064,E050,S575,234.48,,,
6847_T3,10-Jul-01,F064,E050,S575,262.21,,,
3233_T3,26-May-98,C054,E050,S575,413.88,,,
2098_T3,30-Sep-96,D054,E050,S575,216.1,,,
6841_T3,07-Jul-01,F064,E075,S575,278.42,,,
3290_T3,11-Jun-98,E064,E075,S575,358.16,,,
2586_T3,14-Aug-97,D054,E075,S575,271.15,,,
2565_T3,02-Aug-97,D054,E100,S575,330.02,,,
6818_T3,03-Jul-01,F064,E100,S575,277.01,,,
1818_T3,07-Jun-96,C054,E100,S575,382.47,,,
3289_T3,09-Jun-98,E064,E100,S575,353.45,,,
3266_T3,03-Jun-98,C054,E125,S575,386.05,,,
2113_T3,04-Oct-96,E064,E125,S575,234.31,,,
6843_T3,10-Jul-01,F064,E125,S575,265.48,,,
7259_T3,10-Oct-01,F054,E125,S575,395.04,,,
2925_T3,18-Nov-97,E054,E125,S575,145.83,,,
2547_T3,30-Jul-97,D054,E125,S575,335.52,,,
3262_T3,02-Jun-98,C054,E150,S575,109.96,,,
2101_T3,02-Oct-96,E064,E150,S575,242.72,,,
7276_T3,12-Oct-01,F054,E150,S575,341.21,,,
2919_T3,14-Nov-97,E054,E150,S575,170.97,,,
3396_T3,18-Jul-98,F065,E150,S575,362.18,,,
2535_T3,22-Jul-97,D054,E150,S575,315.35,,,
2095_T3,01-Oct-96,E064,E175,S575,214.34,,,
2913_T3,11-Nov-97,E054,E175,S575,175.09,,,
7282_T3,12-Oct-01,F054,E175,S575,331.53,,,
2770_T3,19-Sep-97,D054,E175,S575,373.06,,,
3222_T3,22-May-98,C054,E175,S575,393.46,,,
3410_T3,23-Jul-98,F064,E175,S575,366.76,,,
3257_T3,01-Jun-98,C054,E200,S575,219.13,,,
7229_T3,04-Oct-01,F054,E200,S575,363.33,,,
368_T3_05,1-Dec-05,E064,E200,S575,358.4,,,
2907_T3,10-Nov-97,E054,E200,S575,128.73,,,
2721_T3,10-Sep-97,D054,E200,S575,313.93,,,
1830_T3,20-Jun-96,F064,E200,S575,324.49,,,
2827_T3,06-Oct-97,E054,E225,S575,166.11,,,
3677_T3,06-Oct-98,C054,E225,S575,473.18,,,
7266_T3,11-Oct-01,F054,E225,S575,326,,,
2727_T3,11-Sep-97,D054,E225,S575,279.66,,,
3399_T3,18-Jul-98,F064,E225,S575,364.74,,,
2100_T3,25-Sep-96,E064,E225,S575,210.42,,,
2833_T3,07-Oct-97,E054,E250,S575,240.17,,,
7250_T3,10-Oct-01,F054,E250,S575,396.38,,,
1882_T3,16-Jul-96,F064,E250,S575,291,,,
3632_T3,22-Sep-98,C054,E250,S575,412.43,,,
2799_T3,30-Sep-97,D054,E250,S575,310.36,,,
7241_T3,06-Oct-01,F054,E275,S575,410.73,,,
3926_T3,13-Mar-99,C054,E275,S575,481.14,,,
3394_T3,17-Jul-98,F064,E275,S575,352.19,,,
3001_T3,19-Jan-98,E054,E275,S575,128.79,,,
2793_T3,29-Sep-97,D054,E275,S575,298.92,,,
1855_T3,06-Jul-96,F065,E300,S575,338.38,,,
3917_T3,11-Mar-99,C055,E300,S575,467.5,,,
2787_T3,26-Sep-97,D055,E300,S575,197.06,,,
2016_T3,29-Aug-96,E055,E300,S575,227.54,,,
7178_T3,29-Sep-01,F055,E300,S575,389.25,,,
7127_T3,14-Sep-01,F055,E325,S575,403.8,,,
2781_T3,24-Sep-97,D055,E325,S575,223.8,,,
4112_T3,29-May-99,E055,E325,S575,499.84,,,
7126_T3,11-Sep-01,F055,E350,S575,365.37,,,
1879_T3,13-Jul-96,F065,E350,S575,293.95,,,
2775_T3,23-Sep-97,D055,E350,S575,288.35,,,
1999_T3,24-Aug-96,E055,E350,S575,243.83,,,
7087_T3,04-Sep-01,F055,E375,S575,377,,,
2768_T3,10-Sep-97,D055,E375,S575,275.61,,,
4108_T3,28-May-99,E055,E375,S575,454.74,,,
1867_T3,10-Jul-96,F065,E400,S575,311.85,,,
2747_T3,11-Sep-97,D055,E400,S575,419.6,,,
3049_T3,24-Feb-98,E055,E400,S575,356.44,,,
7076_T3,30-Aug-01,F055,E400,S575,428.72,,,
2867_T3,07-Oct-97,D055,E425,S575,133.22,,,
3043_T3,19-Feb-98,E055,E425,S575,129.88,,,
6640_T3,21-May-01,F055,E425,S575,88.35,,,
3427_T3,30-Jul-98,F065,E425,S575,406.71,,,
2849_T3,02-Oct-97,D055,E450,S575,246.6,,,
3442_T3,04-Aug-98,F065,E450,S575,384.21,,,
3576_T3,07-Sep-98,E055,E450,S575,273.16,,,
6667_T3,22-May-01,F055,E450,S575,92.79,,,
3563_T3,04-Sep-98,E055,E475,S575,274.76,,,
6642_T3,18-May-01,F055,E475,S575,90.04,,,
2819_T3,24-Sep-97,D055,E475,S575,204.75,,,
3419_T3,29-Jul-98,F065,E475,S575,398.89,,,
6645_T3,19-May-01,F055,E500,S575,90.88,,,
3405_T3,22-Jul-98,F065,E500,S575,373.3,,,
3245_T3,29-May-98,E055,E500,S575,118.12,,,
769_T3_06,6-Oct-06,E065,E500,S575,133.81,,,
3259_T3,02-Jun-98,E055,E525,S575,331.72,,,
796_T3_06,11-Oct-06,E065,E525,S575,188.52,,,
6628_T3,16-May-01,F055,E525,S575,123.05,,,
3252_T3,01-Jun-98,E055,E550,S575,376.12,,,
6636_T3,15-May-01,F055,E550,S575,92.43,,,
814_T3_06,17-Oct-06,E065,E550,S575,185,,,
849_T3,27-Jan-93,D055,E550,S575,208.85,,,
6635_T3,12-May-01,F055,E575,S575,93.62,,,
816_T3_06,18-Oct-06,E065,E575,S575,185.81,,,
853_T3,29-Jan-93,D055,E575,S575,190.4,,,
3249_T3,30-May-98,E055,E575,S575,364.07,,,
856_T3,03-Feb-93,D056,E600,S575,184.06,,,
2041_T3,09-Sep-96,E056,E600,S575,247.34,,,
6616_T3,11-May-01,F053,E600,S575,108.35,,,
815_T3_06,17-Oct-06,E066,E600,S575,180.16,,,
6615_T3,09-May-01,F056,E625,S575,101.68,,,
356_T3_05,11-Nov-05,E056,E625,S575,346.82,,,
830_T3_06,20-Oct-06,E066,E625,S575,182.02,,,
850_T3,27-Jan-93,D056,E625,S575,212.57,,,
6614_T3,04-May-01,F056,E650,S575,89.73,,,
358_T3_05,15-Nov-05,E056,E650,S575,367.34,,,
4371_T3,03-Aug-99,E056,E675,S575,299.4,,,
6624_T3,09-May-01,F056,E675,S575,87.12,,,
6668_T3,23-May-01,F056,E700,S575,92.69,,,
4348_T3,28-Jul-99,E056,E700,S575,410.74,,,
6657_T3,24-May-01,F056,E725,S575,112.7,,,
2710_T3,06-Sep-97,D046,E750,S575,317.27,,,
6689_T3,26-May-01,F056,E750,S575,256.44,,,
2626_T3,20-Aug-97,D046,E775,S575,184.16,,,
6688_T3,25-May-01,F056,E775,S575,264.45,,,
2620_T3,19-Aug-97,D046,E800,S575,186.18,,,
6789_T3,25-Jun-01,F056,E800,S575,268.02,,,
6790_T3,27-Jun-01,F056,E825,S575,271.27,,,
2530_T3,30-Jul-97,D046,E825,S575,320.01,,,
2115_T3,04-Oct-96,D046,E850,S575,206.2,,,
1950_T3,10-Aug-96,E056,E850,S575,220.37,,,
3783_T3,19-Nov-98,C046,E850,S575,453.15,,,
6791_T3,28-Jun-01,F056,E850,S575,270.62,,,
2134_T3,14-Oct-96,D046,E875,S575,242.24,,,
